"g","mY","gY","mU","gU","mW","gW","e0","eP","eM","mUs"
0.55257,0.125,97.174,4.32975,0.0047795,7.8248,0.001039,0.0020135,2.7661875,30.629,NA
0.74477,0.125,32.193,10.2675,0.0025785,1.9576,0.009461,0.0009395,0.4602375,8.342,NA
0.61096,0.125,58.668,3.76625,0.0056603,0.2956,0.0062295,0.003774,2.9794875,40.5025,NA
0.27667,0.125,51.223,7.489625,0.0079358,6.8074,0.00831,0.0036165,0.919875,43.108,NA
0.09218,0.125,83.39,1.035125,0.0077318,3.5152,0.0011745,0.0058185,3.465,47.909,NA
0.15752,0.125,80.909,12.211375,0.0034131,5.1658,0.00928,0.0005455,1.7182875,23.6815,NA
0.44739,0.125,43.365,4.8175,0.0045449,1.8334,0.0028455,0.0071245,1.5083625,36.214,NA
0.07695,0.125,15.354,10.419375,0.0086056,8.9132,0.00484,0.0050925,1.7353875,29.292,NA
0.82104,0.125,43.902,7.40325,0.0019465,7.1088,0.001265,0.0037995,3.15465,29.0635,NA
0.3192,0.125,45.34,0.1665,0.0091713,8.7563,7.5e-06,0.00649,3.6823125,16.608,NA
0.23756,0.125,83.083,0.2655,0.0045943,2.329,0.003386,0.0042635,0.0397875,25.5295,NA
0.55492,0.125,20.775,4.08975,0.0033798,3.3554,0.0024145,0.0063985,1.3885875,11.113,NA
0.5485,0.125,44.489,10.125875,0.0028098,4.8748,0.0090345,0.005811,2.4801,11.4025,NA
0.82475,0.125,6.042,3.839125,0.004548,2.1751,0.0034895,0.006223,1.23855,43.622,NA
0.97514,0.125,67.203,3.413625,0.0074054,1.6471,0.0012255,0.002242,0.903,11.2765,NA
0.29467,0.125,42.891,4.873125,0.0022386,4.0686,0.0002815,0.001427,2.7618,22.1535,NA
0.40322,0.125,40.02,6.541,0.0028297,8.5975,0.0041005,0.004932,2.5600875,44.3385,NA
0.84199,0.125,55.892,11.069125,0.0069737,3.9442,0.0083055,0.0071025,2.1032625,44.5565,NA
0.68879,0.125,42.726,2.6535,0.0088451,4.9516,8.1e-05,0.0019945,2.7937875,42.8975,NA
0.85691,0.125,55.289,0.926875,0.0054733,9.0204,0.007844,0.009462,3.0699,14.2145,NA
0.78558,0.125,40.43,3.723375,0.006741,4.999,0.0076775,0.001304,3.5721,32.4405,NA
0.91969,0.125,65.958,6.94975,0.0010016,5.4436,0.0095905,0.0080585,2.0433,35.6635,NA
0.78974,0.125,62.143,8.658375,0.0043182,7.4994,0.0023275,0.0038555,1.8500625,17.6165,NA
