"g","mY","gY","mU","gU","mW","gW","e0","eP","eM","mUs"
0.55257,0.125,68.75,4.43375,0.0054886,7.96,0.0046015,0.005125,0.134925,30.868,NA
0.74477,0.125,15.416,5.12575,0.000625,2.8738,0.008967,0.000997,0.128025,26.755,NA
0.61096,0.125,37.226,10.701625,0.0077159,0.8679,0.0069085,0.0067545,2.44515,13.505,NA
0.27667,0.125,71.165,5.543625,0.007459,0.1342,9.55e-05,0.005404,2.61345,49.9955,NA
0.09218,0.125,71.366,11.876625,0.0019467,0.5123,0.002727,0.0081775,2.3044875,44.705,NA
0.15752,0.125,59.405,9.014375,0.0055028,7.0765,0.0091925,0.0027195,3.48165,47.244,NA
0.44739,0.125,56.567,12.07875,0.007623,4.1522,0.0088655,0.008303,3.691125,48.357,NA
0.07695,0.125,54.215,8.503375,0.0003873,0.036,0.009718,0.001559,1.475775,35.1215,NA
0.82104,0.125,52.438,1.616625,0.0029076,5.3379,0.0022935,0.0018345,3.0138,23.0045,NA
0.3192,0.125,22.791,1.342625,0.0039703,6.4394,0.0080255,0.001097,0.9762375,41.956,NA
0.23756,0.125,99.157,1.394625,0.0077832,4.0396,0.0075335,0.0041165,3.1185375,5.5985,NA
0.55492,0.125,30.965,9.378875,0.0082079,2.2317,0.0033515,0.0060905,3.7324125,27.0215,NA
0.5485,0.125,78.558,10.944375,0.0032984,2.0788,0.006461,0.0030075,0.4660875,15.49,NA
0.82475,0.125,38.092,1.601375,0.0066691,9.4986,0.0001155,0.0067095,2.027175,3.3975,NA
0.97514,0.125,19.93,7.485625,0.0080598,3.4211,0.004899,0.005474,3.712875,10.8785,NA
0.29467,0.125,34.234,10.742875,0.0030194,7.8468,0.0070645,0.0018715,1.2117375,22.485,NA
0.40322,0.125,79.876,3.322,0.0076753,5.6247,0.005146,0.0058465,0.7758375,19.9165,NA
0.84199,0.125,78.655,8.9375,0.0077321,7.6568,0.001615,0.005555,1.2532875,26.727,NA
0.68879,0.125,77.117,9.959,0.0017656,6.1086,0.004696,0.0031625,3.746025,5.4585,NA
0.85691,0.125,93.508,1.34425,0.0045008,3.4285,0.0062825,0.0034025,1.9009875,16.881,NA
0.78558,0.125,13.051,1.3785,0.0089179,1.4084,0.0023675,0.00401,3.5633625,9.0285,NA
0.91969,0.125,31.906,8.22325,0.0009113,1.1793,0.002994,0.0034655,2.057475,0.8945,NA
0.78974,0.125,79.433,1.20575,0.0087354,3.4889,0.005418,0.0081525,2.443575,39.27,NA
0.28479,0.125,92.628,1.271625,0.0040343,4.9681,0.0083525,0.007066,3.0543,33.108,NA
0.10031,0.125,38.49,0.915875,0.0032798,6.9328,0.0059575,0.004251,1.1646375,29.998,NA
0.48645,0.125,45.013,4.5865,0.0013639,4.5457,0.0080715,0.0058755,1.2166875,7.98,NA
0.65277,0.125,20.925,8.446875,0.0084556,3.5294,0.0088395,0.0095335,1.7394,45.455,NA
0.87364,0.125,12.961,9.47925,0.0063085,9.7214,0.004185,0.0054795,3.6118125,20.139,NA
0.47314,0.125,42.963,1.611875,0.0057448,4.9301,0.0027585,0.000417,0.6288,49.99,NA
0.79728,0.125,8.13,7.937125,0.0052286,9.1523,0.003002,0.00906,0.24615,22.125,NA
0.16237,0.125,19.395,6.290125,0.0056752,7.1842,0.000757,0.005659,1.673475,0.031,NA
0.20002,0.125,93.003,3.29075,0.0045521,0.8817,0.002935,0.003207,0.9952125,11.325,NA
0.90329,0.125,60.228,2.2745,0.0083441,3.7346,0.007491,0.0032755,2.5840875,48.243,NA
0.62393,0.125,19.806,12.213625,0.002778,4.3595,0.001413,0.008878,1.28865,17.3485,NA
0.11356,0.125,0.607,2.46925,0.0030445,9.2323,0.0055735,0.0046725,2.66385,46.5615,NA
0.31856,0.125,76.79,7.566875,0.0051622,0.6962,0.0033135,0.003629,0.222675,22.2565,NA
0.64565,0.125,50.146,9.64975,0.0048877,9.9489,0.0001675,0.002546,0.36855,5.6895,NA
0.34883,0.125,40.843,11.642625,0.0010402,4.9344,0.0096815,0.0075245,3.3580875,18.7115,NA
0.27653,0.125,29.516,10.49075,0.00462,6.6005,0.0081635,0.005945,3.0939375,19.0435,NA
0.58569,0.125,22.127,11.846375,0.0049973,0.5901,0.0033055,0.0045395,0.2565375,32.7385,NA
0.23856,0.125,35.618,3.332875,0.0065318,6.6377,0.0079065,0.001664,2.9162625,22.518,NA
0.58695,0.125,98.969,2.2835,0.0019402,5.5469,0.008337,0.009621,1.6759125,22.599,NA
0.33612,0.125,43.386,6.7005,0.0064054,6.6055,0.0058515,0.004073,3.5695875,7.277,NA
0.65244,0.125,80.66,5.2975,0.0062681,3.4894,0.005468,0.0096105,3.537975,20.36,NA
0.47194,0.125,91.282,3.404125,0.0007695,9.0602,0.0085595,0.0002335,2.7813375,28.6095,NA
0.2027,0.125,36.913,11.983,0.0061501,0.0889,0.005888,0.004337,0.5905125,31.1595,NA
0.17332,0.125,54.854,8.08275,0.0020286,4.7361,0.00126,0.0020415,0.14625,4.9785,NA
0.54823,0.125,60.67,10.550125,0.0052284,6.0702,0.0074135,0.009198,2.0911875,24.319,NA
0.272,0.125,70.513,11.01875,0.001991,8.8753,0.0077695,0.0040125,1.2931875,33.2335,NA
0.81999,0.125,53.332,5.256,0.0048052,1.7256,0.0065975,0.007844,3.083175,3.492,NA
0.15695,0.125,2.977,6.403125,0.0027069,2.5534,0.002647,0.0012065,0.0158625,20.8715,NA
0.28375,0.125,34.108,11.618,0.0029916,2.2539,0.007691,0.008743,0.750975,22.5275,NA
0.64354,0.125,25.152,7.016,0.0067183,8.2639,0.004993,0.008274,0.26835,2.916,NA
0.01002,0.125,61.399,8.3145,0.0083012,2.2882,0.004956,0.0053605,0.485325,5.3925,NA
0.85343,0.125,61.788,11.015,0.0047357,0.339,0.008197,0.0036125,2.8475625,40.761,NA
0.53761,0.125,49.808,4.6165,0.0063529,8.4118,0.0079225,0.003413,2.6742375,15.622,NA
0.0986,0.125,38.422,3.229625,0.0062487,3.6762,0.006392,0.0060455,2.357325,41.8925,NA
0.45824,0.125,42.34,12.49625,0.0008444,7.7859,0.001952,0.00364,1.482375,13.631,NA
0.48613,0.125,22.205,11.518,0.0042271,4.7997,0.007067,0.0082295,0.9999,23.031,NA
0.41038,0.125,40.09,9.477,0.0015913,5.9611,0.0062105,0.00606,0.7624875,35.4305,NA
0.10111,0.125,53.863,6.90875,0.0054121,1.8701,0.0012075,0.000575,2.846775,2.62,NA
0.25053,0.125,12.167,2.996375,0.0009272,4.0826,0.009661,0.004855,3.5156625,17.234,NA
0.5045,0.125,25.589,9.409875,0.0057492,8.5723,0.0028275,0.0087895,0.603375,16.1715,NA
0.81335,0.125,2.011,6.905875,0.0032521,2.3723,0.007225,0.0010015,3.35475,28.863,NA
0.72465,0.125,51.405,8.474,0.0037318,7.3122,0.007757,0.008435,3.29865,47.6395,NA
0.10431,0.125,89.913,9.903,0.0080123,9.9006,0.001995,0.0024555,2.86875,19.2205,NA
0.18019,0.125,22.588,12.309,0.0039757,1.5024,0.0075835,0.003727,1.50945,40.332,NA
0.48805,0.125,0.128,1.428875,0.0010108,8.7414,0.0063995,0.0043235,0.3528,26.787,NA
0.55179,0.125,81.967,3.279375,0.0021485,6.784,0.0046475,0.0029745,0.165225,36.7005,NA
0.48971,0.125,21.483,1.474125,0.0041793,2.2838,0.005716,0.0037955,2.806575,13.6415,NA
0.60227,0.125,98.23,2.383375,0.0064609,9.7906,0.0014415,0.009075,1.5681,42.113,NA
0.61279,0.125,84.68,2.7515,0.0008181,1.0916,0.0035455,0.002347,3.3275625,25.128,NA
0.5856,0.125,8.851,7.131875,0.0083397,1.6072,0.000301,0.0005525,3.3424125,5.221,NA
0.44594,0.125,13.719,3.548125,0.009787,5.0328,0.004914,0.002752,0.8193375,21.3735,NA
0.246,0.125,94.811,9.692125,0.0091503,1.1697,0.0012325,0.0054115,3.2995875,32.1915,NA
0.73619,0.125,28.018,0.016375,0.0073381,2.8442,0.0066595,0.0002905,0.16965,19.581,NA
0.1114,0.125,99.781,1.035125,0.0051814,0.3113,0.0008725,0.0077575,2.147025,18.797,NA
0.78432,0.125,20.376,6.434875,0.0042832,4.844,0.008105,0.0036095,0.1640625,8.4665,NA
0.01968,0.125,12.203,3.693375,0.0071599,8.6924,0.0049925,0.0009485,2.8312875,3.732,NA
0.59916,0.125,13.015,0.810375,0.0018658,5.4538,0.0096965,0.0057265,1.963575,8.2725,NA
