"g","mY","gY","mU","gU","mW","gW","e0","eP","eM","mUs"
0.13304,0.125,63.72,2.002125,0.0092198,8.3225,0.0096055,0.0049265,3.4528125,6.106,NA
0.44317,0.125,55.116,11.933,0.0064858,6.4436,0.003013,0.006203,0.209025,15.129,NA
0.9622,0.125,28.45,10.116,0.002621,6.4641,0.0064205,0.000172,2.6761125,5.4985,NA
0.11864,0.125,18.597,2.18825,0.0014328,4.7131,0.008967,0.0048675,3.331425,10.193,NA
0.36811,0.125,6.274,1.411,0.0005728,6.8918,0.007282,0.0018825,1.5396375,2.019,NA
0.60528,0.125,1.201,12.243125,0.007011,3.0085,0.0013195,0.0055965,1.3786125,26.873,NA
0.03056,0.125,31.155,0.1415,0.0018899,4.6683,0.0001605,0.0035455,1.4154,38.5235,NA
0.79622,0.125,77.312,3.709375,0.0095086,5.3625,0.008211,0.005371,1.5048375,31.1585,NA
0.49981,0.125,8.14,2.653875,0.0058407,0.4584,0.0068045,0.0040285,2.9424,32.3425,NA
0.41652,0.125,43.694,6.111125,0.0035807,9.1179,0.0021315,0.000706,1.5978375,3.8305,NA
0.56737,0.125,48.316,9.19375,0.0023261,6.3366,0.0075915,0.003501,3.1191375,1.5935,NA
0.31522,0.125,65.573,2.2545,0.0040735,4.1437,0.009005,0.009635,2.3923125,47.2395,NA
0.39359,0.125,80.552,10.61225,0.0035846,1.2409,0.003888,0.0048155,3.2420625,6.0255,NA
0.33669,0.125,39.976,6.57025,0.000947,0.866,0.0007145,0.0061075,1.2026625,23.051,NA
0.07465,0.125,63.289,10.766625,0.0011291,8.4474,0.005409,0.00026,1.8476625,15.8255,NA
0.85311,0.125,46.605,4.137625,0.0044677,6.7402,0.0055155,0.0085295,2.4497625,25.794,NA
0.40344,0.125,47.826,6.357125,0.0060778,0.2245,0.000343,0.001531,3.3939,7.2345,NA
0.92449,0.125,36.482,3.3575,0.0017738,4.6468,0.0096065,0.001167,0.9049875,24.342,NA
0.75566,0.125,39.504,0.042375,0.0034745,6.2018,0.005165,0.0002975,0.89475,2.069,NA
0.48986,0.125,68.036,7.401125,0.0040206,4.2227,0.002409,0.002593,0.3711375,17.419,NA
0.77504,0.125,66.984,0.921875,0.0060381,3.42,0.001789,0.0092425,2.4261,2.586,NA
0.52708,0.125,10.086,12.432375,0.0084654,1.7212,0.0042805,0.0086075,2.1520875,39.2505,NA
0.44037,0.125,54.361,7.448625,0.0014369,6.9255,0.002298,0.000984,2.4598875,11.317,NA
0.47521,0.125,56.232,3.947125,0.0047092,2.2422,0.0025765,0.0056865,2.3287875,29.296,NA
0.49779,0.125,39.758,4.578625,0.001508,1.3548,0.001683,0.007141,2.099775,41.8435,NA
