"g","mY","gY","mA","mB","mU","eP","e0","bA","bI","mBs"
0.56179,0.125,3.531,26.282061,3.985728,7.8914,1.77865,0.0040641,2.1092,2.5558,NA
0.832,0.125,5.8583,9.312749,11.232329,8.7651,3.84942,0.0009923,22.954,2.8945,NA
0.01924,0.125,6.9045,7.627591,1.185405,4.2499,4.55031,0.0097434,31.39,48.0831,NA
0.25024,0.125,1.5549,25.475441,1.651012,5.0019,4.96757,0.0008809,25.2034,8.9893,NA
0.38353,0.125,3.5934,34.521265,3.047893,2.9002,3.48518,0.0010336,23.4015,20.624,NA
0.51581,0.125,6.9295,17.544684,4.107405,7.8646,2.54414,0.0013312,15.2128,1.8421,NA
0.85104,0.125,6.0106,36.909249,12.197311,7.1382,3.14648,0.0030924,11.1351,13.0489,NA
0.17565,0.125,6.0245,13.999887,12.436982,1.8557,3.03528,0.0094975,12.4318,13.871,NA
0.73709,0.125,7.0197,0.039276,7.859547,8.8624,4.75094,0.0050453,0.2645,36.5235,NA
0.9652,0.125,0.2067,24.56616,10.057898,2.2012,1.8863,0.0055108,32.3401,34.6717,NA
0.76885,0.125,0.5992,14.780417,10.398698,5.3142,0.85827,0.0079841,8.5538,3.3669,NA
0.34052,0.125,0.8098,23.226625,12.255076,2.0098,0.08716,0.0091283,37.702,34.6045,NA
0.92523,0.125,1.1449,12.485033,8.048525,0.105,3.94399,0.0068023,27.9445,23.3414,NA
0.39002,0.125,8.3952,12.576015,3.061696,3.0791,2.50198,0.0031814,0.4283,1.1775,NA
0.47264,0.125,8.9922,22.19051,5.631967,1.8122,4.97865,0.0078049,26.1383,40.7288,NA
0.27293,0.125,9.1033,32.826841,7.234249,4.8674,4.75488,0.0003104,25.8886,29.9156,NA
0.9686,0.125,6.8488,29.609167,2.41908,7.6403,3.88703,0.0088647,14.421,10.0581,NA
0.69027,0.125,0.1664,14.272534,11.899921,8.5422,0.7038,0.0034888,7.6665,15.5323,NA
0.73128,0.125,3.1443,0.073238,4.17212,9.1764,2.55393,0.0085421,0.6038,12.6392,NA
0.63583,0.125,8.1532,21.548192,2.896804,5.3126,2.53433,0.0083267,2.178,30.8825,NA
0.16985,0.125,5.0677,14.700452,4.062707,4.7419,4.10898,0.0061321,1.3925,0.3167,NA
0.08516,0.125,3.1471,21.442057,11.689106,2.7784,3.52891,0.0057123,36.4935,19.4232,NA
0.82837,0.125,5.1397,27.481318,7.889972,6.5262,2.27276,0.004495,20.5401,29.0566,NA
0.03657,0.125,6.3456,21.009159,9.599122,4.0829,4.57599,0.0015622,45.2269,24.1822,NA
0.08334,0.125,9.2555,15.901836,11.166336,8.3966,0.18201,0.008541,19.4538,10.0065,NA
0.97015,0.125,5.2841,1.860089,11.053515,5.5947,3.38014,0.0098158,16.5633,49.0082,NA
0.00137,0.125,8.4956,19.487179,2.745011,0.9207,3.43456,0.0010978,22.173,30.2593,NA
0.50583,0.125,7.2528,27.949332,0.90109,2.4477,4.73788,0.006434,5.154,30.9498,NA
0.30171,0.125,5.3148,2.660173,0.888624,5.8059,1.20563,0.0052169,22.4587,41.4333,NA
0.98311,0.125,3.0921,17.270749,9.324592,1.7112,3.75854,0.0013491,38.7421,7.7246,NA
0.06565,0.125,6.983,9.800126,2.372071,3.1037,4.20055,0.0048421,2.3989,26.9492,NA
0.98423,0.125,3.9381,16.341098,1.725732,9.9492,1.98537,0.0088183,38.876,37.3177,NA
0.22025,0.125,8.1846,31.402068,5.214906,6.8331,4.08413,0.0081606,36.2979,24.6085,NA
0.6388,0.125,1.6047,28.44992,12.22773,3.6216,1.53076,0.0091565,33.4804,33.3049,NA
0.2323,0.125,7.7503,25.577183,6.647048,0.3183,3.33099,0.0084806,30.5489,5.026,NA
0.69721,0.125,7.7607,26.23918,3.105391,1.3525,0.32969,0.0041234,7.2552,17.7244,NA
0.52779,0.125,5.1847,7.076435,5.277822,9.7684,0.88414,0.0017733,18.2045,21.8401,NA
0.89788,0.125,8.1505,4.636834,5.123435,3.7958,0.22233,0.0072509,20.1364,9.374,NA
0.4653,0.125,1.5482,20.281263,8.000823,1.2472,3.73253,0.0094727,6.1368,16.2998,NA
0.63145,0.125,3.0202,27.445985,6.937147,0.3579,0.26693,0.0057389,11.6466,44.194,NA
0.55537,0.125,0.566,28.677567,8.163171,9.5772,4.33355,0.0042169,40.5106,40.9865,NA
0.90286,0.125,2.7456,12.056967,12.299139,6.9281,3.7782,0.00284,3.4641,40.8247,NA
0.27251,0.125,1.2262,12.70451,11.189101,1.5112,2.65249,0.0055378,41.7126,9.1469,NA
0.02349,0.125,6.1727,9.223764,10.328653,8.9684,4.67123,0.0042582,32.9902,28.488,NA
0.68673,0.125,4.6017,17.901389,10.578197,4.1253,0.13787,0.0064164,12.9876,29.0424,NA
0.78069,0.125,8.8688,16.098207,3.17339,7.1566,1.43715,0.0034375,24.7605,11.828,NA
0.51711,0.125,0.3954,2.339279,10.738326,2.9928,4.06688,0.0028763,1.12,6.0068,NA
0.42682,0.125,4.4702,12.826266,2.360615,7.7341,3.1017,5.6e-05,19.818,21.118,NA
0.93775,0.125,4.4236,18.2885,11.287914,6.5215,0.80774,0.0005272,42.8185,32.0239,NA
0.87711,0.125,7.3554,18.770013,7.774669,1.5181,1.71304,0.0080516,46.7177,27.4389,NA
