g,mY,gY,mU,kD,gU,b,bs,mUs
0.36039,0.125,8.6164,187.3748,53.4663,0.0062329,0.502534,10.459595,NA
0.42205,0.125,5.6805,102.3084,16.2894,0.0067136,0.286504,15.255365,NA
0.38067,0.125,2.896,64.4804,6.3194,0.0089819,0.37893,11.967175,NA
0.26037,0.125,3.7962,198.1388,63.6434,0.0038177,0.340587,6.438315,NA
0.34336,0.125,6.874,94.237,92.5187,0.0068116,0.129399,7.32525,NA
0.75251,0.125,8.4348,34.7228,42.0744,0.0063139,0.063152,13.52686,NA
0.74041,0.125,4.7778,143.202,53.8488,0.0083232,0.378853,11.64239,NA
0.40195,0.125,3.355,178.539,94.9569,0.0095463,0.483188,9.417775,NA
0.51225,0.125,7.59,145.0298,13.1919,0.007547,0.685668,2.710965,NA
0.46676,0.125,1.2882,196.5064,7.9239,0.0026218,0.918284,4.07767,NA
0.99586,0.125,0.4146,9.8396,72.3309,0.0009445,0.539341,7.953965,NA
0.77027,0.125,9.6988,56.598,2.3118,0.0080771,0.636359,3.69384,NA
0.52902,0.125,6.4426,199.3388,17.9335,0.0025116,0.043098,7.764815,NA
0.36252,0.125,5.8388,79.0642,83.1641,0.0031074,0.990122,6.0772,NA
0.70795,0.125,1.4964,169.8962,49.1104,0.0050758,0.711895,4.52193,NA
0.11006,0.125,2.0794,101.8288,88.1318,0.0031919,0.237344,15.36128,NA
0.69553,0.125,4.0638,166.5426,14.3927,0.0087809,0.961007,4.004265,NA
0.5057,0.125,3.1369,163.7736,6.4214,0.0093774,0.376522,5.730445,NA
0.59781,0.125,1.316,142.9928,85.9012,0.0033816,0.861099,15.0425,NA
0.19457,0.125,4.1122,155.9898,63.3725,0.0035471,0.146326,3.160045,NA
0.35292,0.125,7.9958,191.2114,60.6631,0.0008803,0.825831,8.77843,NA
0.61961,0.125,1.37,59.9212,22.4823,0.0017947,0.631329,2.14373,NA
0.81221,0.125,3.3843,190.6504,70.2848,0.0091881,0.758207,4.00328,NA
0.22577,0.125,5.5043,93.052,39.1979,0.0096751,0.026803,4.10507,NA
0.33031,0.125,1.8884,13.0324,24.5007,0.0008092,0.976356,3.278385,NA
0.04844,0.125,4.6462,33.2654,24.07,0.0009182,0.207682,0.650485,NA
0.28658,0.125,1.5357,93.0514,75.0985,0.0058998,0.163226,0.184335,NA
0.1094,0.125,1.0076,102.921,8.7497,0.0014205,0.910891,8.615315,NA
0.13621,0.125,3.6632,58.522,91.6113,0.0030459,0.462899,4.71475,NA
0.83446,0.125,9.2367,24.043,59.0258,0.0072623,0.239472,3.364565,NA
0.32986,0.125,8.4198,166.3926,61.5239,0.0095091,0.973795,5.358425,NA
0.1335,0.125,0.9332,184.0436,42.6859,0.006555,1.001483,5.8941,NA
0.29536,0.125,3.9746,187.029,95.875,0.0004209,1.076369,6.545265,NA
0.92948,0.125,5.9198,145.8524,98.8286,0.0055457,0.766353,13.510875,NA
0.42416,0.125,1.7914,5.1058,29.3212,0.0065088,0.791997,6.79487,NA
0.62405,0.125,5.7448,11.9606,87.444,0.0012741,0.346765,9.89806,NA
0.47113,0.125,2.3729,190.3796,91.0021,0.0042434,0.920614,15.19362,NA
0.57642,0.125,5.0597,30.6698,49.1275,0.0022179,0.850759,12.780015,NA
0.44478,0.125,2.733,105.4738,87.9363,0.0036124,0.246731,11.5269,NA
0.7005,0.125,8.885,30.8636,97.2894,0.0075822,0.488844,14.357935,NA
0.92918,0.125,3.2971,125.9076,84.0042,0.0057063,0.812532,3.444655,NA
0.98875,0.125,0.9258,160.2822,9.5688,0.0025209,0.023127,9.45447,NA
0.50567,0.125,1.0708,142.5554,40.6649,0.0090567,0.549902,4.7047,NA
0.66296,0.125,8.6874,185.5802,43.6113,0.0070805,0.472548,6.21819,NA
0.07591,0.125,9.6285,154.1398,90.066,0.0085254,0.704977,12.850525,NA
0.51064,0.125,6.3773,195.0412,76.7314,0.0008959,0.720962,6.671785,NA
0.53817,0.125,1.1212,180.2534,64.9329,0.0049345,0.11615,1.15028,NA
0.91317,0.125,7.371,163.7854,82.3908,0.0003258,0.693401,15.061025,NA
0.13925,0.125,2.8828,13.2368,66.0664,0.0040236,0.117979,2.97599,NA
0.121,0.125,3.697,17.8934,59.0239,0.0080333,0.431113,3.287295,NA
0.09607,0.125,7.7876,160.3478,63.0877,0.0087521,0.235993,4.269785,NA
0.20957,0.125,5.1988,65.5988,72.3825,0.0014396,0.657674,1.207405,NA
0.43814,0.125,7.2218,63.344,6.1871,0.0085642,0.354593,14.11046,NA
0.52341,0.125,2.1215,26.7826,56.273,0.0028187,0.247615,9.65197,NA
0.90428,0.125,0.6682,195.1998,36.2391,0.0061133,0.196025,4.37674,NA
0.44377,0.125,4.7525,39.2742,69.5582,0.0015148,0.967442,0.517815,NA
0.40633,0.125,5.1197,91.5038,43.7471,0.0043759,0.069474,11.948005,NA
0.72025,0.125,4.742,11.1818,48.6792,0.0096819,0.030757,7.71286,NA
0.83149,0.125,8.8027,78.1684,88.2256,0.0039487,0.586738,14.97037,NA
0.36324,0.125,8.2627,27.4996,43.6097,0.006673,0.898992,11.999765,NA
0.1863,0.125,7.0367,110.8634,37.8583,0.0018973,0.80394,15.103475,NA
0.26112,0.125,6.6772,159.6698,69.6418,0.0058989,0.039893,15.63989,NA
0.38147,0.125,3.8134,32.6514,28.2713,0.0083113,0.166184,13.63406,NA
0.11542,0.125,6.5272,40.3928,50.5217,0.0021403,0.828009,0.19497,NA
0.77995,0.125,0.1947,30.1276,96.9163,0.0091841,0.882466,14.49117,NA
0.47307,0.125,5.7352,197.114,41.0409,0.0050817,0.090916,13.349415,NA
0.34662,0.125,6.8216,189.299,74.8455,0.0080662,1.063057,10.288,NA
0.71061,0.125,9.8331,191.6088,57.5718,0.0098715,0.366693,3.08518,NA
0.47705,0.125,1.0527,127.6988,47.5295,0.0046364,0.023165,3.07055,NA
0.89741,0.125,3.3365,97.5766,11.3309,0.0058895,0.919379,7.234765,NA
