"g","mY","gY","mU","kD","gU","b","bs","mUs"
0.56179,0.125,2.5896,104.0556,49.4673,0.0014053,0.9368,1.52302,NA
0.832,0.125,0.4411,18.4494,96.9858,0.0015235,0.102427,5.12474,NA
0.01924,0.125,1.3722,107.3634,43.3863,0.003876,0.23171,6.075485,NA
0.25024,0.125,5.5024,2.3402,2.1719,0.0043239,0.460594,12.758875,NA
0.38353,0.125,8.6038,131.676,55.1358,0.000742,0.712185,3.11369,NA
0.51581,0.125,5.6994,107.5034,52.3146,0.0065779,0.78672,13.552825,NA
0.85104,0.125,7.7355,85.1786,96.077,0.0042295,0.352429,11.00293,NA
0.17565,0.125,7.7775,135.7462,1.3496,0.0078006,0.320099,11.553715,NA
0.73709,0.125,9.751,70.261,69.9367,0.0036008,0.412894,4.41948,NA
0.9652,0.125,3.7628,18.8168,10.388,0.0087654,0.641938,11.76899,NA
0.76885,0.125,2.3083,142.196,69.2656,0.0086043,0.376083,1.1547,NA
0.34052,0.125,3.9864,178.928,0.0662,0.0021988,0.209577,10.7554,NA
0.92523,0.125,1.9519,104.4994,17.9217,0.0033247,0.6255,6.51161,NA
0.39002,0.125,8.0325,93.8758,64.0666,0.0092127,0.494094,12.789855,NA
0.47264,0.125,7.2484,70.848,46.7209,0.0001955,0.667224,0.28584,NA
0.27293,0.125,1.9687,114.026,4.595,0.0039496,1.051493,6.55242,NA
0.9686,0.125,4.8148,81.048,67.747,0.0031722,0.92574,12.33944,NA
0.69027,0.125,9.8924,13.7018,27.1991,0.0028272,0.515404,5.789475,NA
0.73128,0.125,9.2407,179.7002,32.6161,0.0090521,0.63747,10.11779,NA
0.63583,0.125,2.4639,189.7364,29.3576,0.004829,0.827284,4.44903,NA
0.16985,0.125,1.4116,66.9312,16.1322,0.0032855,0.490823,4.81984,NA
0.08516,0.125,3.2873,174.113,43.2166,0.0017153,0.439755,4.20415,NA
0.82837,0.125,1.7007,53.312,59.8392,0.0036313,0.24692,1.01204,NA
0.03657,0.125,4.1927,22.2598,71.3055,0.0048264,0.297811,4.02669,NA
0.08334,0.125,7.7309,167.0972,94.8372,0.0078548,0.336645,14.45712,NA
0.97015,0.125,0.8985,175.9576,42.6221,0.004414,0.486093,4.07301,NA
0.00137,0.125,1.7808,168.2496,2.8669,0.000581,0.819512,6.318525,NA
0.50583,0.125,7.0199,160.7718,52.9293,0.0065553,0.127212,0.689525,NA
0.30171,0.125,7.3813,110.7508,79.1783,0.0062852,0.541707,1.62674,NA
0.98311,0.125,2.8474,159.8292,84.2922,0.0081532,0.036794,14.828605,NA
0.06565,0.125,3.3416,198.2754,19.657,0.0091519,0.600742,14.600185,NA
0.98423,0.125,1.8369,66.579,28.7059,0.0082737,0.248201,8.532305,NA
0.22025,0.125,7.381,74.0346,47.864,0.0052915,0.6277,1.50525,NA
0.6388,0.125,2.1651,48.3338,14.7448,0.0014108,0.576546,5.701895,NA
0.2323,0.125,1.2787,23.7046,44.1128,0.0002569,0.40289,13.290145,NA
0.69721,0.125,7.4554,112.6618,60.0235,0.0034014,0.794928,5.98253,NA
0.52779,0.125,2.1118,87.3068,87.9262,0.0015155,0.472818,12.39809,NA
0.89788,0.125,0.3539,166.525,46.1519,0.0051707,0.112586,2.55264,NA
0.4653,0.125,0.1817,30.484,42.0047,0.0026153,0.579112,5.42496,NA
0.63145,0.125,0.5603,29.4438,26.9103,0.009954,0.081012,1.77892,NA
0.55537,0.125,7.3211,41.2226,0.1563,0.0044222,0.142596,1.13507,NA
0.90286,0.125,0.0327,62.1544,82.0085,0.000198,0.763103,10.25059,NA
0.27251,0.125,7.4298,21.7186,72.5276,0.0029986,0.928083,6.756735,NA
0.02349,0.125,2.4709,185.3634,5.1941,0.0099938,0.477151,2.116015,NA
0.68673,0.125,1.318,160.8548,0.8511,0.0082949,0.220557,14.48433,NA
0.78069,0.125,5.9931,46.4542,11.455,0.0082936,0.988398,10.17888,NA
0.51711,0.125,8.9113,95.9588,39.6179,0.0029341,0.436047,1.889635,NA
0.42682,0.125,7.7687,77.1178,6.3486,0.0081953,0.194168,11.179055,NA
0.93775,0.125,5.901,123.0654,57.0034,0.0051258,0.237704,7.89457,NA
0.87711,0.125,1.1199,119.4754,27.8254,0.0028984,0.308512,3.0964,NA
0.3531,0.125,0.6342,69.7974,70.148,0.0077885,0.110744,6.53774,NA
0.58583,0.125,5.7283,17.7046,35.1567,0.0058198,0.571154,13.18213,NA
0.69045,0.125,8.337,113.9406,43.4637,0.0050204,0.07427,0.24043,NA
0.15549,0.125,8.2832,182.096,64.0402,0.0050715,0.942988,5.79598,NA
0.35934,0.125,2.4658,153.7532,59.4891,0.0028709,0.719377,3.66186,NA
0.69295,0.125,2.7548,17.5656,18.6576,0.0017698,0.815043,4.64238,NA
0.60106,0.125,3.6392,192.3206,80.1078,0.0094347,0.934728,11.825065,NA
0.60245,0.125,1.046,115.9028,74.8484,0.0056112,0.828838,10.42471,NA
0.70197,0.125,8.9958,198.4176,97.3521,0.008667,0.842371,6.012865,NA
0.02067,0.125,4.0068,15.4644,14.42,0.0091688,0.327643,2.40506,NA
0.05992,0.125,5.0103,0.3398,49.8455,0.0038023,0.103226,15.009255,NA
0.08098,0.125,7.6243,177.7662,30.7761,0.00117,0.044321,12.031075,NA
0.11449,0.125,8.5946,146.8284,45.3914,0.0090152,0.627901,15.494855,NA
0.83952,0.125,1.6857,118.8654,63.5653,0.0068118,0.436332,2.21861,NA
0.89922,0.125,5.5523,12.7992,91.0542,0.0071394,0.727983,2.373205,NA
0.91033,0.125,7.5983,13.4754,3.5097,0.0063638,0.472788,13.473995,NA
0.68488,0.125,1.734,6.3808,35.1576,0.0019886,0.843014,12.52554,NA
0.01664,0.125,3.8132,197.819,60.7315,0.0085415,0.718904,2.00216,NA
0.31443,0.125,4.8645,119.6498,44.1836,0.0066131,1.060008,0.627375,NA
0.81532,0.125,4.2091,127.0974,47.8132,0.0032107,0.935764,14.21433,NA
0.50677,0.125,4.2923,194.5352,12.5205,0.0063085,0.963924,5.840165,NA
0.31471,0.125,1.0169,175.2528,75.6973,0.0017994,0.82121,10.26691,NA
0.51397,0.125,6.3255,45.1872,62.7994,0.0012156,0.167684,13.142765,NA
0.63456,0.125,7.4713,51.5832,37.0951,0.0090714,0.739583,11.561665,NA
0.92555,0.125,8.2778,41.573,39.1071,0.0049358,0.578953,10.78885,NA
0.52841,0.125,0.0324,30.7048,34.2654,0.0064753,0.304584,14.274475,NA
0.84956,0.125,0.9061,35.5792,79.5908,0.0051145,0.026032,11.662925,NA
0.72528,0.125,1.8832,181.1374,19.6409,0.0017977,0.009622,0.27511,NA
0.53148,0.125,9.7255,10.7958,5.2851,0.0071345,0.300962,9.10321,NA
0.30921,0.125,2.43,24.7772,31.1678,0.005044,0.225943,8.142075,NA
0.6983,0.125,7.0878,172.2914,52.6638,0.0016008,0.087865,12.42454,NA
0.39381,0.125,8.611,69.1766,83.2372,0.0005018,0.434936,14.575355,NA
0.81846,0.125,8.8509,1.4828,27.344,5.24e-05,0.463277,13.021535,NA
0.16047,0.125,0.6192,75.9794,79.7289,0.0091226,0.161049,2.133405,NA
0.77503,0.125,5.6548,72.8702,39.9698,9.39e-05,0.942225,13.61215,NA
