"g","mY","gY","mU","gU","mW","gW","e0","eP","eM","mUs"
0.01,0.125,0.1,0.125,0.05,0.74,0.0001,0.0001,0.0375,0.5,NA
0.832,0.125,5.8583,12.43573,3.8334,35.4416,0.001482,0.0082121,2.302269,22.456,NA
0.01924,0.125,6.9045,9.20546,4.5009,3.3766,0.007755,0.00762,3.123695,1.501,NA
0.25024,0.125,1.5549,7.51346,0.5638,65.9615,0.00068,0.0032503,2.511797,4.483,NA
0.38353,0.125,3.5934,11.51235,0.6346,64.4515,0.008175,0.0088138,0.554209,8.794,NA
0.51581,0.125,6.9295,9.03882,1.754,70.2165,0.008476,0.0083467,0.840025,19.014,NA
0.85104,0.125,6.0106,9.60591,3.8172,9.1261,0.006034,0.0065162,1.739211,0.68,NA
0.17565,0.125,6.0245,3.06022,4.1804,2.6486,0.006021,0.0099679,1.902486,0.221,NA
0.73709,0.125,7.0197,9.63238,0.837,25.139,0.001323,0.0094472,2.779738,14.808,NA
0.9652,0.125,0.2067,10.11554,4.3031,4.8375,0.003313,0.0094855,2.239399,24.859,NA
0.76885,0.125,0.5992,7.63873,4.0843,26.2287,0.003453,0.001471,1.164513,21.62,NA
0.34052,0.125,0.8098,0.35681,0.0241,43.3461,0.005974,0.0087625,2.522285,45.181,NA
0.92523,0.125,1.1449,2.96816,2.3002,7.8978,0.008061,0.0080882,0.952652,3.853,NA
0.39002,0.125,8.3952,11.88789,2.4428,70.5443,0.005188,0.0095664,3.277394,14.212,NA
0.47264,0.125,8.9922,0.96758,0.4512,55.3354,0.001558,0.0062374,3.341251,1.696,NA
0.27293,0.125,9.1033,6.33994,1.1367,25.0353,0.004405,0.0045987,1.112066,7.325,NA
0.9686,0.125,6.8488,10.33017,3.1992,73.407,0.004172,0.0046956,3.001081,22.726,NA
0.69027,0.125,0.1664,1.54358,4.2928,20.2518,0.008605,0.0032798,0.95732,45.583,NA
0.73128,0.125,3.1443,10.4644,0.637,54.2909,0.004445,0.0083715,0.341416,26.26,NA
0.63583,0.125,8.1532,12.15395,4.9433,61.2976,0.003303,0.0054308,2.894191,37.378,NA
0.16985,0.125,5.0677,10.60811,4.4588,15.3148,0.008567,0.0037637,2.312123,5.757,NA
0.08516,0.125,3.1471,2.45444,2.9645,31.535,0.008357,0.0031456,1.561408,37.762,NA
0.82837,0.125,5.1397,3.07327,4.2765,0.1114,0.003858,0.0023272,3.194004,29.256,NA
0.03657,0.125,6.3456,0.69643,4.5795,50.5668,0.008667,0.0026143,0.702611,28.189,NA
0.08334,0.125,9.2555,5.73077,1.9401,42.4071,0.002727,0.0065912,2.305742,42.883,NA
0.97015,0.125,5.2841,0.16793,1.9511,17.981,0.001134,0.0086772,1.809807,18.886,NA
0.00137,0.125,8.4956,4.66942,2.4044,60.0755,0.00738,0.0012081,0.623678,29.183,NA
0.50583,0.125,7.2528,2.58037,3.666,63.759,0.004389,0.0098674,2.752746,34.705,NA
0.30171,0.125,5.3148,2.14747,3.9205,44.0699,0.006296,0.0029941,1.387698,11.309,NA
0.98311,0.125,3.0921,0.34044,0.1608,64.3028,0.00964,0.0096725,1.317801,17.455,NA
0.06565,0.125,6.983,12.18177,4.2107,68.3208,0.000303,0.0016408,2.147152,2.329,NA
0.98423,0.125,3.9381,9.88806,1.7705,6.5326,0.006358,0.0052275,0.479447,18.344,NA
0.22025,0.125,8.1846,10.87964,1.1975,8.403,0.004216,0.0039125,2.360631,38.35,NA
0.6388,0.125,1.6047,6.09216,1.3416,31.8155,0.004795,0.0079539,2.282879,13.228,NA
0.2323,0.125,7.7503,6.82761,2.2453,53.3559,0.009584,0.0086286,3.363876,7.001,NA
0.69721,0.125,7.7607,11.40163,2.4407,54.1464,0.006692,0.0071476,1.405874,25.121,NA
0.52779,0.125,5.1847,5.59426,2.9621,3.1101,0.007624,0.0064536,2.620925,22.731,NA
0.89788,0.125,8.1505,4.89938,2.3971,63.8203,0.007591,0.0045577,1.917961,28.902,NA
0.4653,0.125,1.5482,2.12902,4.2222,72.3755,0.001249,0.0028121,3.735865,27.801,NA
0.63145,0.125,3.0202,10.79913,1.3877,69.164,0.008778,0.0057119,1.03693,42.946,NA
0.55537,0.125,0.566,11.83349,4.7877,37.0848,0.00446,0.0072216,3.155839,40.604,NA
0.90286,0.125,2.7456,4.07764,3.5411,26.5391,0.005287,0.0036084,2.255738,37.61,NA
0.27251,0.125,1.2262,8.47266,1.7235,35.9892,0.001768,0.0060367,1.668668,19.573,NA
0.02349,0.125,6.1727,8.89325,1.0209,36.6734,0.000638,0.0075927,2.865191,47.215,NA
0.68673,0.125,4.6017,10.69761,1.153,56.231,0.009918,0.0093214,0.220876,22.254,NA
0.78069,0.125,8.8688,7.81384,2.0551,27.468,0.00472,0.0085808,2.540484,8.447,NA
0.51711,0.125,0.3954,4.38935,3.2453,9.5836,0.005826,0.0063225,3.27206,44.267,NA
0.42682,0.125,4.4702,1.79414,3.6317,20.0417,0.006864,0.0074787,2.292211,22.075,NA
0.93775,0.125,4.4236,1.40017,3.6789,25.1925,0.006987,0.0003576,2.078376,22.385,NA
0.87711,0.125,7.3554,8.7881,0.2521,63.9404,0.001222,0.005535,3.562817,32.705,NA
