bC	FB	rho	time	Z1	Z2	X1	XC	A	M
0.01	1	0.01	0.0	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.42386699225443	993.7165994864184	NaN
0.01	1	0.01	0.8068690052529227	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.42386698592338	993.7165994599551	NaN
0.01	1	0.01	2.3436284042091917	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.42386695227773	993.716599469012	NaN
0.01	1	0.01	4.463737995318178	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.42386698267234	993.7165994780806	NaN
0.01	1	0.01	7.5608182481472825	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.4238669618419	993.7165994779638	NaN
0.01	1	0.01	12.099566729243652	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.4238669646418	993.7165994685864	NaN
0.01	1	0.01	18.897376647859073	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.42386696817533	993.7165994695733	NaN
0.01	1	0.01	29.799957563192006	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.42386696873972	993.7165994717911	NaN
0.01	1	0.01	49.00087462933866	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.42386696930028	993.7165994731076	NaN
0.01	1	0.01	88.28980816930624	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.42386696972254	993.7165994732841	NaN
0.01	1	0.01	188.95263497736	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.42386696976446	993.7165994732371	NaN
0.01	1	0.01	500.0	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.42386696976203	993.7165994732338	NaN
0.01	1	0.0105	500.0	16666.66666666667	1.7999999999999994	10000.000000000002	1000.0000000000001	83.42386696976203	993.7165994732338	NaN
0.01	1	0.0105	500.0075403257971	16666.666653299097	1.8000292640945703	9999.999999998383	1000.0376874184295	83.42365650279507	993.716600266139	NaN
0.01	1	0.0105	500.0116342166034	16666.666623662844	1.8000584730614142	9999.999999991871	1000.0581372573871	83.42336621114619	993.7166023844595	NaN
0.01	1	0.0105	500.0192207979836	16666.666510872845	1.800121108040791	9999.99999994965	1000.0960116892932	83.42250167218492	993.7166125900723	NaN
0.01	1	0.0105	500.0275864586525	16666.666291058995	1.800194627369552	9999.99999982066	1000.1377422149026	83.42105799545861	993.7166382178162	NaN
0.01	1	0.0105	500.03995097254847	16666.665776365127	1.8003051660787206	9999.99999936563	1000.199356373475	83.41798654631967	993.7167169937788	NaN
