tspan	gD	CoRaDyn(bC)
500.0	0.0	1.01	0.2798054999729178
500.0	0.025	1.01	0.19689852127039023
500.0	0.05	1.01	0.4007614156256939
500.0	0.075	1.01	0.5732319621187668
500.0	0.1	1.01	0.698743092023593
500.0	0.0	1.02	0.2917665179545845
500.0	0.025	1.02	0.196281973228697
500.0	0.05	1.02	0.3995596780813415
500.0	0.075	1.02	0.5720205721436551
500.0	0.1	1.02	0.6977045769138521
500.0	0.0	1.03	0.30452149137800133
500.0	0.025	1.03	0.1956775664423772
500.0	0.05	1.03	0.39837112594626584
500.0	0.075	1.03	0.5708198511591851
500.0	0.1	1.03	0.6966735415502476
500.0	0.0	1.04	0.31804915583839954
500.0	0.025	1.04	0.19508921754570924
500.0	0.05	1.04	0.39719546239706643
500.0	0.075	1.04	0.5696296007569495
500.0	0.1	1.04	0.6956498669033463
500.0	0.0	1.05	0.33238461743609293
500.0	0.025	1.05	0.19451443666174129
500.0	0.05	1.05	0.3960324358137689
500.0	0.075	1.05	0.5684496569702137
500.0	0.1	1.05	0.6946334455329312
