tspan	bP	bD	bI	CoRaDyn(bC)
500.0	0.0	0.0	0.02	0.07675688606198851
500.0	0.020833333333333332	0.0	0.02	0.07487264859439473
500.0	0.041666666666666664	0.0	0.02	0.07307341162639357
500.0	0.0625	0.0	0.02	0.07135654848436603
500.0	0.08333333333333333	0.0	0.02	0.0697158685909076
500.0	0.10416666666666667	0.0	0.02	0.06814718606083293
500.0	0.125	0.0	0.02	0.06664625876004528
500.0	0.14583333333333334	0.0	0.02	0.06520840394707351
500.0	0.16666666666666666	0.0	0.02	0.0638280460219194
500.0	0.1875	0.0	0.02	0.06250237334689261
500.0	0.20833333333333334	0.0	0.02	0.061233273182557856
500.0	0.22916666666666666	0.0	0.02	0.060012404624833156
500.0	0.25	0.0	0.02	0.0588370180374555
500.0	0.2708333333333333	0.0	0.02	0.057707428014062846
500.0	0.2916666666666667	0.0	0.02	0.05662124672909055
500.0	0.3125	0.0	0.02	0.0555731100131386
500.0	0.3333333333333333	0.0	0.02	0.05456560258459415
500.0	0.3541666666666667	0.0	0.02	0.05359327343663984
500.0	0.375	0.0	0.02	0.0526564551823524
500.0	0.3958333333333333	0.0	0.02	0.051753199988178844
500.0	0.4166666666666667	0.0	0.02	0.05088227669431714
500.0	0.4375	0.0	0.02	0.050041771589829774
500.0	0.4583333333333333	0.0	0.02	0.04923130645972356
500.0	0.4791666666666667	0.0	0.02	0.04845160627846804
500.0	0.5	0.0	0.02	0.047702260670395596
500.0	0.0	0.03333333333333333	0.02	0.07663295862488444
500.0	0.020833333333333332	0.03333333333333333	0.02	0.07476255721166752
500.0	0.041666666666666664	0.03333333333333333	0.02	0.07297747369233618
500.0	0.0625	0.03333333333333333	0.02	0.07127554160113551
500.0	0.08333333333333333	0.03333333333333333	0.02	0.06964684515700538
500.0	0.10416666666666667	0.03333333333333333	0.02	0.0680888919104892
500.0	0.125	0.03333333333333333	0.02	0.0665963186954388
500.0	0.14583333333333334	0.03333333333333333	0.02	0.06516653969683739
500.0	0.16666666666666666	0.03333333333333333	0.02	0.06379736249134933
500.0	0.1875	0.03333333333333333	0.02	0.06248355797208356
500.0	0.20833333333333334	0.03333333333333333	0.02	0.06121965598694074
500.0	0.22916666666666666	0.03333333333333333	0.02	0.06000678974296813
500.0	0.25	0.03333333333333333	0.02	0.05884084063959532
500.0	0.2708333333333333	0.03333333333333333	0.02	0.057718965251458865
500.0	0.2916666666666667	0.03333333333333333	0.02	0.05663775209369819
500.0	0.3125	0.03333333333333333	0.02	0.05559841018700169
500.0	0.3333333333333333	0.03333333333333333	0.02	0.05459615773855707
500.0	0.3541666666666667	0.03333333333333333	0.02	0.05363084888499989
500.0	0.375	0.03333333333333333	0.02	0.052699627552434375
500.0	0.3958333333333333	0.03333333333333333	0.02	0.051803156559299526
500.0	0.4166666666666667	0.03333333333333333	0.02	0.05093945351312859
500.0	0.4375	0.03333333333333333	0.02	0.050105303880494584
500.0	0.4583333333333333	0.03333333333333333	0.02	0.049303779024820124
500.0	0.4791666666666667	0.03333333333333333	0.02	0.048533493072310294
500.0	0.5	0.03333333333333333	0.02	0.04779304388290435
500.0	0.0	0.06666666666666667	0.02	0.07652267021011143
500.0	0.020833333333333332	0.06666666666666667	0.02	0.07466664175425951
500.0	0.041666666666666664	0.06666666666666667	0.02	0.07289602999231506
500.0	0.0625	0.06666666666666667	0.02	0.07120352154225865
500.0	0.08333333333333333	0.06666666666666667	0.02	0.06958471665556436
500.0	0.10416666666666667	0.06666666666666667	0.02	0.06804051743728
500.0	0.125	0.06666666666666667	0.02	0.06656055477328332
500.0	0.14583333333333334	0.06666666666666667	0.02	0.06514073807102803
500.0	0.16666666666666666	0.06666666666666667	0.02	0.06377908954615749
500.0	0.1875	0.06666666666666667	0.02	0.06247254680251991
500.0	0.20833333333333334	0.06666666666666667	0.02	0.06121870284678118
500.0	0.22916666666666666	0.06666666666666667	0.02	0.06001302099860903
500.0	0.25	0.06666666666666667	0.02	0.058852789872848886
500.0	0.2708333333333333	0.06666666666666667	0.02	0.05773890650853064
500.0	0.2916666666666667	0.06666666666666667	0.02	0.05666502878402359
500.0	0.3125	0.06666666666666667	0.02	0.05563092094087604
500.0	0.3333333333333333	0.06666666666666667	0.02	0.054634613569289635
500.0	0.3541666666666667	0.06666666666666667	0.02	0.053676168343312056
500.0	0.375	0.06666666666666667	0.02	0.05275264375538294
500.0	0.3958333333333333	0.06666666666666667	0.02	0.05186347278104131
500.0	0.4166666666666667	0.06666666666666667	0.02	0.051004608999505596
500.0	0.4375	0.06666666666666667	0.02	0.05018028616599973
500.0	0.4583333333333333	0.06666666666666667	0.02	0.04938762761547252
500.0	0.4791666666666667	0.06666666666666667	0.02	0.04862723935945218
500.0	0.5	0.06666666666666667	0.02	0.047897250595837444
500.0	0.0	0.1	0.02	0.07642531768637245
500.0	0.020833333333333332	0.1	0.02	0.07458237374789671
500.0	0.041666666666666664	0.1	0.02	0.07282547038613296
500.0	0.0625	0.1	0.02	0.0711467126154891
500.0	0.08333333333333333	0.1	0.02	0.06954234108305381
500.0	0.10416666666666667	0.1	0.02	0.0680050186348441
500.0	0.125	0.1	0.02	0.0665328402760689
500.0	0.14583333333333334	0.1	0.02	0.06512134964597321
500.0	0.16666666666666666	0.1	0.02	0.06376992160038825
500.0	0.1875	0.1	0.02	0.0624712194172056
500.0	0.20833333333333334	0.1	0.02	0.06122470356747994
500.0	0.22916666666666666	0.1	0.02	0.06002523936567333
500.0	0.25	0.1	0.02	0.058874743448155756
500.0	0.2708333333333333	0.1	0.02	0.05776574440597438
500.0	0.2916666666666667	0.1	0.02	0.056699426954041496
500.0	0.3125	0.1	0.02	0.05567183944243308
500.0	0.3333333333333333	0.1	0.02	0.054682995516667963
500.0	0.3541666666666667	0.1	0.02	0.053731590310871664
500.0	0.375	0.1	0.02	0.05281494571872734
500.0	0.3958333333333333	0.1	0.02	0.05193150310216055
500.0	0.4166666666666667	0.1	0.02	0.051082928398106034
500.0	0.4375	0.1	0.02	0.050267373998167685
500.0	0.4583333333333333	0.1	0.02	0.0494839310309926
500.0	0.4791666666666667	0.1	0.02	0.0487345608665147
500.0	0.5	0.1	0.02	0.04801604403249994
500.0	0.0	0.13333333333333333	0.02	0.07634372961959413
500.0	0.020833333333333332	0.13333333333333333	0.02	0.07451544344727586
500.0	0.041666666666666664	0.13333333333333333	0.02	0.07276872599012
500.0	0.0625	0.13333333333333333	0.02	0.07110048335824294
500.0	0.08333333333333333	0.13333333333333333	0.02	0.06950359827327392
500.0	0.10416666666666667	0.13333333333333333	0.02	0.06797737904107691
500.0	0.125	0.13333333333333333	0.02	0.06651625380571724
500.0	0.14583333333333334	0.13333333333333333	0.02	0.06511577958064871
500.0	0.16666666666666666	0.13333333333333333	0.02	0.06377139508669123
500.0	0.1875	0.13333333333333333	0.02	0.06248034060496071
500.0	0.20833333333333334	0.13333333333333333	0.02	0.061239876608389206
500.0	0.22916666666666666	0.13333333333333333	0.02	0.06005050259128404
500.0	0.25	0.13333333333333333	0.02	0.05890476810558673
500.0	0.2708333333333333	0.13333333333333333	0.02	0.05780216994125881
500.0	0.2916666666666667	0.13333333333333333	0.02	0.05674212960592451
500.0	0.3125	0.13333333333333333	0.02	0.055722298820731785
500.0	0.3333333333333333	0.13333333333333333	0.02	0.05474058049868406
500.0	0.3541666666666667	0.13333333333333333	0.02	0.05379678223154681
500.0	0.375	0.13333333333333333	0.02	0.05288658852719859
500.0	0.3958333333333333	0.13333333333333333	0.02	0.05201195806858762
500.0	0.4166666666666667	0.13333333333333333	0.02	0.05117226931154714
500.0	0.4375	0.13333333333333333	0.02	0.050365695742674285
500.0	0.4583333333333333	0.13333333333333333	0.02	0.049593869452226776
500.0	0.4791666666666667	0.13333333333333333	0.02	0.04885603620320575
500.0	0.5	0.13333333333333333	0.02	0.04815545333729921
500.0	0.0	0.16666666666666666	0.02	0.07627211738367054
500.0	0.020833333333333332	0.16666666666666666	0.02	0.07445495231301275
500.0	0.041666666666666664	0.16666666666666666	0.02	0.07272153003631923
500.0	0.0625	0.16666666666666666	0.02	0.07106302826819977
500.0	0.08333333333333333	0.16666666666666666	0.02	0.06947906515027624
500.0	0.10416666666666667	0.16666666666666666	0.02	0.06796217752749863
500.0	0.125	0.16666666666666666	0.02	0.06650946399261094
