tspan	bP	bI	bD	CoRaDyn(bC)
500.0	0.0	0.02	0.0	0.07675688606198851
500.0	0.125	0.02	0.0	0.06664625876004528
500.0	0.25	0.02	0.0	0.0588370180374555
500.0	0.375	0.02	0.0	0.0526564551823524
500.0	0.5	0.02	0.0	0.047702260670395596
500.0	0.0	0.04	0.0	0.11979084871905485
500.0	0.125	0.04	0.0	0.09478297759865827
500.0	0.25	0.04	0.0	0.07780558021246031
500.0	0.375	0.04	0.0	0.06538747270928438
500.0	0.5	0.04	0.0	0.05437168483756296
500.0	0.0	0.06	0.0	0.3323838186463537
500.0	0.125	0.06	0.0	0.21688350369110052
500.0	0.25	0.06	0.0	0.14982661244045617
500.0	0.375	0.06	0.0	0.10636053272143901
500.0	0.5	0.06	0.0	0.0684459894674562
500.0	0.0	0.08	0.0	NaN
500.0	0.125	0.08	0.0	NaN
500.0	0.25	0.08	0.0	0.444636288596712
500.0	0.375	0.08	0.0	0.22131959320622874
500.0	0.5	0.08	0.0	0.0826716138494919
500.0	0.0	0.1	0.0	NaN
500.0	0.125	0.1	0.0	NaN
500.0	0.25	0.1	0.0	NaN
500.0	0.375	0.1	0.0	NaN
500.0	0.5	0.1	0.0	0.09145255561367348
500.0	0.0	0.02	0.2	0.07621301003436108
500.0	0.125	0.02	0.2	0.06651204604935294
500.0	0.25	0.02	0.2	0.05898938910304216
500.0	0.375	0.02	0.2	0.05305832084253219
500.0	0.5	0.02	0.2	0.04963862847450461
500.0	0.0	0.04	0.2	0.10856988435050674
500.0	0.125	0.04	0.2	0.0874352316860596
500.0	0.25	0.04	0.2	0.07250851443660548
500.0	0.375	0.04	0.2	0.060217753923144934
500.0	0.5	0.04	0.2	0.045274030296225856
500.0	0.0	0.06	0.2	0.24556163888399946
500.0	0.125	0.06	0.2	0.16771886177912826
500.0	0.25	0.06	0.2	0.11842618469519595
500.0	0.375	0.06	0.2	0.07804190388675897
500.0	0.5	0.06	0.2	0.050973860817107454
500.0	0.0	0.08	0.2	NaN
500.0	0.125	0.08	0.2	NaN
500.0	0.25	0.08	0.2	0.24913246879287548
500.0	0.375	0.08	0.2	0.09991859620147463
500.0	0.5	0.08	0.2	0.06160956454769856
500.0	0.0	0.1	0.2	NaN
500.0	0.125	0.1	0.2	NaN
500.0	0.25	0.1	0.2	NaN
500.0	0.375	0.1	0.2	0.11826678150902696
500.0	0.5	0.1	0.2	0.07324460819703539
500.0	0.0	0.02	0.4	0.0760707372446191
500.0	0.125	0.02	0.4	0.06669132407441673
500.0	0.25	0.02	0.4	0.05943857029700663
500.0	0.375	0.02	0.4	0.05395165883301384
500.0	0.5	0.02	0.4	NaN
500.0	0.0	0.04	0.4	0.10047917009273773
500.0	0.125	0.04	0.4	0.08193562790190573
500.0	0.25	0.04	0.4	0.06757690146887184
500.0	0.375	0.04	0.4	0.04877920750907469
500.0	0.5	0.04	0.4	NaN
500.0	0.0	0.06	0.4	0.1949425649717494
500.0	0.125	0.06	0.4	0.13559352270774835
500.0	0.25	0.06	0.4	0.09026894340938353
500.0	0.375	0.06	0.4	0.0475058918200786
500.0	0.5	0.06	0.4	NaN
500.0	0.0	0.08	0.4	NaN
500.0	0.125	0.08	0.4	0.2853695518158957
500.0	0.25	0.08	0.4	0.12259036542397182
500.0	0.375	0.08	0.4	0.047795994864660005
500.0	0.5	0.08	0.4	NaN
500.0	0.0	0.1	0.4	NaN
500.0	0.125	0.1	0.4	NaN
500.0	0.25	0.1	0.4	0.1559161532249655
500.0	0.375	0.1	0.4	0.049047479537766336
500.0	0.5	0.1	0.4	NaN
500.0	0.0	0.02	0.6	0.07622149449069045
500.0	0.125	0.02	0.6	0.06715021071693585
500.0	0.25	0.02	0.6	0.06021292477642158
500.0	0.375	0.02	0.6	NaN
500.0	0.5	0.02	0.6	NaN
500.0	0.0	0.04	0.6	0.0945050255377916
500.0	0.125	0.04	0.6	0.07695017255952379
500.0	0.25	0.04	0.6	0.055952274711226
500.0	0.375	0.04	0.6	NaN
500.0	0.5	0.04	0.6	NaN
500.0	0.0	0.06	0.6	0.15892538589898098
500.0	0.125	0.06	0.6	0.10613425264864934
